Number,Name,Designation,Orbit,H Mag,Type [1],Vis,NIR,Taxon,Type [3],Slope,PC1',PC2',PC3',PC4',PC5',Date (UT),Telescope,Simplified Category
350523,,2000 EA14,APO,21.1,VISNIR,*,*,,Qw,0.357,-0.5897,0.2607,0.1589,0.1406,-0.1035,2012-06-11,Mag 6.5m,Other
354030,,2001 RB18,AMO,18.5,VISNIR,48,48,,C,0.0582,-0.3949,-0.1433,-0.0983,0.0841,0.0221,2001-11-20,NTT,C-Group
363067,,2000 CO101,APO,19.1,VISNIR,5,*,,X,0.3114,-0.2815,-0.0809,-0.1733,0.0466,-0.0257,2009-09-20,IRTF 3m,X-Group
365424,,2010 KX7,ATE,21.9,VISNIR,26,*,,Sw,0.3205,0.411,-0.143,0.2724,-0.114,0.1791,2012-04-29,IRTF 3m,S-Group
399774,,2005 NB7,APO,18.7,VISNIR,26,*,,Sq,0.1763,-0.3008,0.1508,0.0807,0.092,0.0328,2008-04-13,IRTF 3m,S-Group
401857,,2000 PG3,APO,16.1,VISNIR,*,*,,D,0.4559,0.2177,-0.2055,-0.2309,0.0134,-0.0187,2000-09-04,IRTF 3m,D-type
405058,,2001 TX16,MC,14.0,VISNIR,5,*,,X,0.2499,-0.0433,-0.152,-0.221,0.07,-0.047,2002-03-15,IRTF 3m,X-Group
413038,,2001 MF1,AMO,16.8,VISNIR,5,*,,Sr,0.0944,0.348,0.0742,-0.0459,0.0921,-0.019,2001-08-24,IRTF 3m,S-Group
414586,,2009 UV18,AMO,16.0,VISNIR,26,*,,Svw,0.4966,0.7137,-0.119,0.1953,0.2067,-0.0208,2010-01-17,IRTF 3m,S-Group
416186,,2002 TD60,AMO,19.3,VISNIR,49,49,,S,0.3073,0.2401,-0.0191,0.094,0.1331,-0.0275,2002-12-08,TNG 3.6m,S-Group
440212,,2004 OB,APO,18.8,VISNIR,15,*,,C,0.0038,-0.1731,-0.152,-0.1703,0.0838,-0.0548,2005-01-08,IRTF 3m,C-Group
448003,,2008 DE,APO,19.6,VISNIR,26,*,,Sq,0.1228,-0.2965,0.1036,0.1366,0.0077,-0.0154,2008-05-10,IRTF 3m,S-Group
451157,,2009 SQ104,APO,21.0,VISNIR,47,*,,Sq,0.2477,-0.2675,0.1257,0.111,0.048,-0.0436,2013-05-11,IRTF 3m,S-Group
451397,,2011 EZ78,AMO,17.2,VISNIR,26,*,,Sq,0.2268,-0.1103,0.0316,0.1744,-0.0158,-0.0235,2011-06-06,IRTF 3m,S-Group
452389,,2002 NW16,AMO,18.0,VISNIR,15,15,,Sw,0.3459,0.08,0.024,0.1563,-0.0857,-0.0566,2002-08-29,TNG 3.6m,S-Group
452561,,2005 AB,AMO,17.5,VISNIR,76,*,,C,0.1093,-0.599,0.0439,-0.2157,0.1271,-0.0292,2005-04-12,IRTF 3m,C-Group
455192,,2000 QN130,AMO,18.1,VISNIR,48,48,,C,0.0007,-0.7518,-0.0083,-0.1663,-0.0571,0.0123,2000-10-28,NTT,C-Group
455322,,2002 NX18,AMO,17.3,VISNIR,15,*,,"C,Ch",0.0313,-0.2949,-0.0595,-0.1586,0.136,0.1039,2002-10-28,IRTF 3m,Other
455415,,2003 GA,AMO,21.1,VISNIR,15,15,,Sw,0.5121,0.4044,-0.1876,0.1756,0.1787,-0.0794,2003-08-26,TNG 3.6m,S-Group
461501,,2003 FT3,AMO,18.5,VISNIR,50,*,,Sr,0.1444,-0.4001,0.2588,0.0454,0.0538,0.0284,2003-07-05,IRTF 3m,S-Group
471240,,2011 BT15,APO,21.8,VISNIR,47,*,,Sqw,0.5868,-0.2242,0.0297,0.147,-0.0035,0.0553,2014-01-08,IRTF 3m,S-Group
480883,,2001 YE4,ATE,20.7,VISNIR,26,*,,V,-0.0183,0.4199,0.9135,-0.0961,-0.005,0.0364,2011-12-30,IRTF 3m,V-type
481532,,2007 LE,APO,19.7,VISNIR,41,*,,L,0.3554,-0.6303,0.078,-0.0886,0.0072,-0.0376,2012-06-06,IRTF 3m,S-Group
500080,,2011 WV134,APO,17.2,VISNIR,42,*,,Sw,0.2763,0.1565,0.0545,0.0903,0.0822,0.0632,2012-05-26,IRTF 3m,S-Group
506459,,2002 AL14,APO,17.8,VISNIR,5,*,,L,0.4794,0.6857,-0.337,0.1085,0.1309,-0.1199,2004-01-25,IRTF 3m,S-Group
,,2000 WL63,APO,19.9,VISNIR,5,*,,U,0.5056,-0.2059,-0.0183,0.0801,0.212,-0.011,2012-12-19,IRTF 3m,Other
,,2001 SG286,APO,20.9,VISNIR,5,8,,Xe,0.903,0.5772,-0.367,0.0235,0.1618,-0.0125,2009-05-20,IRTF 3m,X-Group
,,2002 AV,APO,20.9,VISNIR,5,*,,S,0.166,-0.0599,-0.0239,-0.1098,-0.0073,-0.094,2002-01-13,IRTF 3m,S-Group
